Date,P-1 TMF T/hr,P-2 TMF T/hr,P-3 TMF T/hr,I-1 TMF T/hr,I-2 TMF T/hr,Total_prod_tph,Total_inj_tph
1998-01-04,356.05865708333295,,,63.378440960833274,253.5137638433331,356.05865708333295,316.89220480416634
1998-01-11,391.775103863095,,,69.73596848763091,278.94387395052365,391.775103863095,348.6798424381546
1998-01-18,681.2502527678541,,,121.26254499267804,485.0501799707122,681.2502527678541,606.3127249633902
1998-01-25,671.4542783154748,,,119.5188615401545,478.075446160618,671.4542783154748,597.5943077007726
1998-02-01,524.5047365357137,,,93.36184310335705,373.4473724134282,524.5047365357137,466.80921551678523
1998-02-08,494.6662169761902,,,88.05058662176187,352.20234648704746,494.6662169761902,440.2529331088093
1998-02-15,474.51815983333285,,,84.46423245033326,337.856929801333,474.51815983333285,422.3211622516663
1998-02-22,496.15334711111063,,,75.69882495923802,302.7952998369521,425.27429752380914,378.4941247961902
1998-03-01,435.5359240416662,,,66.45033812521422,265.80135250085686,373.31650632142816,332.25169062607114
1998-03-08,501.1879094619562,,,50.97797021955898,203.91188087823593,286.39309112111783,254.88985109779492
1998-03-15,598.3574365773804,,,106.50762371077373,426.0304948430949,598.3574365773804,532.5381185538687
1998-03-22,535.1505938511898,,,95.25680570551181,381.02722282204724,535.1505938511898,476.284028527559
1998-03-29,518.359950755952,,,92.26807123455946,369.07228493823783,518.359950755952,461.3403561727973
1998-04-05,439.8599003630948,,,78.2950622646309,313.1802490585236,439.8599003630948,391.4753113231545
1998-04-12,572.9731933214281,,,101.98922841121421,407.95691364485685,572.9731933214281,509.94614205607104
1998-04-19,588.3606605535709,,,104.72819757853564,418.91279031414257,588.3606605535709,523.6409878926781
1998-04-26,,,,0.0,0.0,0.0,0.0
1998-05-03,518.293256319444,,,79.07674253559517,316.3069701423807,444.25136255952344,395.3837126779759
1998-05-10,560.4857864761901,,,99.76646999276184,399.06587997104737,560.4857864761901,498.83234996380924
1998-05-17,587.3272311041665,,,89.60935468846426,358.43741875385706,503.42334094642837,448.0467734423213
1998-05-24,581.9159274226188,,,103.58103508122613,414.32414032490453,581.9159274226188,517.9051754061308
1998-05-31,484.11691816071396,,,86.1728114326071,344.6912457304284,484.11691816071396,430.86405716303545
1998-06-07,513.9792312013886,,,78.41854556044044,313.67418224176174,440.55362674404745,392.0927278022022
1998-06-14,521.9193179666661,,,66.35831328433326,265.43325313733305,372.79951283333287,331.7915664216663
1998-06-21,400.24703183333304,,,30.533130714142835,122.13252285657134,171.53444221428558,152.66565357071417
1998-06-28,584.3496635138885,,,89.15506294754756,356.62025179019025,500.8711401547616,445.77531473773786
1998-07-05,615.8004600654759,,,109.61248189165474,438.44992756661895,615.8004600654759,548.0624094582737
1998-07-12,639.6707185357138,,,113.86138789935707,455.4455515974283,639.6707185357138,569.3069394967854
1998-07-19,573.8987540654759,,,102.15397822365472,408.6159128946189,573.8987540654759,510.7698911182736
1998-07-26,492.8648092976187,,,87.72993605497615,350.9197442199046,492.8648092976187,438.64968027488067
1998-08-02,565.25993447619,,,100.61626833676182,402.4650733470473,565.25993447619,503.0813416838091
1998-08-09,621.2342229642853,,,110.57969168764279,442.31876675057117,621.2342229642853,552.8984584382139
1998-08-16,572.4326670773805,,,101.89301473977375,407.572058959095,572.4326670773805,509.46507369886876
1998-08-23,552.3299721845235,,,98.31473504884521,393.25894019538083,552.3299721845235,491.57367524422597
1998-08-30,619.7247597202376,,,110.31100723020229,441.24402892080917,619.7247597202376,551.5550361510114
1998-09-06,584.0808181547616,,,103.96638563154757,415.86554252619027,584.0808181547616,519.8319281577378
1998-09-13,512.792732395833,,,78.23751974267853,312.9500789707141,439.5366277678569,391.1875987133926
1998-09-20,556.367575023809,305.52293903571416,,153.41651150259514,613.6660460103806,861.8905140595232,767.0825575129757
